title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Paradise PD,4.0,0.0,TV Comedies,United States,TV Show,2018,2022.0
Super Drags,1.0,1.0,International TV,Brazil,TV Show,2018,2018.0
Trailer Park Boys: The Animated Series,2.0,0.0,TV Comedies,Canada,TV Show,2019,2020.0
Tuca & Bertie,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
The Midnight Gospel,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
Hoops,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
The Liberator,1.0,1.0,TV Action,United States,TV Show,2020,2020.0
Bad Exorcist,2.0,0.0,,,TV Show,2020,2021.0
Masters of the Universe: Revelation,2.0,0.0,,,TV Show,2021,2021.0
Q-Force,1.0,1.0,,United States,TV Show,2021,2021.0
Adventure Beast,1.0,1.0,,,TV Show,2021,2021.0
Inside Job,1.0,0.0,,,TV Show,2021,2022.0
Tear Along the Dotted Line,1.0,1.0,,,TV Show,2021,2021.0
Saturday Morning All Star Hits!,1.0,1.0,,,TV Show,2021,2021.0
The Guardians of Justice,1.0,1.0,,,TV Show,2022,2022.0
Farzar,1.0,1.0,,,TV Show,2022,2022.0
Human Resources,2.0,0.0,,,TV Show,2022,2023.0
Castlevania,4.0,0.0,Anime Series,United States,TV Show,2017,2021.0
Devilman Crybaby,1.0,1.0,Anime Series,Japan,TV Show,2018,2018.0
B: The Beginning,2.0,0.0,Anime Series,Japan,TV Show,2018,2021.0
A.I.C.O. -Incarnation-,1.0,1.0,,,TV Show,2018,2018.0
Sword Gai: The Animation,2.0,0.0,,,TV Show,2018,2018.0
Lost Song,1.0,0.0,,,TV Show,2018,2018.0
Aggretsuko,5.0,0.0,Anime Series,Japan,TV Show,2018,2023.0
Baki,2.0,0.0,,,TV Show,2018,2020.0
Hero Mask,2.0,0.0,,,TV Show,2018,2019.0
Ultraman,3.0,0.0,Anime Series,"United States, Japan, United States",TV Show,2019,2023.0
Rilakkuma and Kaoru,1.0,1.0,Anime Series,"Japan, United States, Japan",TV Show,2019,2019.0
7SEEDS,2.0,0.0,Anime Series,,TV Show,2019,2020.0
Knights of the Zodiac: Saint Seiya,2.0,0.0,,,TV Show,2019,2020.0
Cannon Busters,1.0,1.0,Anime Series,"United States, Japan, United States",TV Show,2019,2019.0
Seis Manos,1.0,1.0,Anime Series,United States,TV Show,2019,2019.0
Dino Girl Gauko,2.0,0.0,Anime Series,"United States, Japan, United States",TV Show,2019,2020.0
Levius,1.0,1.0,Anime Series,Japan,TV Show,2019,2019.0
The Disastrous Life of Saiki K.: Reawakened,1.0,1.0,Anime Series,Japan,TV Show,2019,2019.0
Cagaster of an Insect Cage,1.0,1.0,Anime Series,Japan,TV Show,2020,2020.0
Ghost in the Shell: SAC_2045,2.0,0.0,Anime Series,"Japan, United States, Japan",TV Show,2020,2022.0
Japan Sinks: 2020,1.0,1.0,Anime Series,Japan,TV Show,2020,2020.0
Transformers: War for Cybertron Trilogy: Siege,1.0,1.0,,,TV Show,2020,2020.0
The Idhun Chronicles,2.0,0.0,Anime Series,Spain,TV Show,2020,2021.0
Dragon's Dogma,1.0,1.0,Anime Series,,TV Show,2020,2020.0
Transformers: War for Cybertron Trilogy: Earthrise,1.0,1.0,,,TV Show,2020,2020.0
High-Rise Invasion,1.0,1.0,,Japan,TV Show,2021,2021.0
Pacific Rim: The Black,2.0,0.0,,"United States, Australia",TV Show,2021,2022.0
Dota: Dragon's Blood,3.0,0.0,,,TV Show,2021,2022.0
Yasuke,1.0,1.0,,,TV Show,2021,2021.0
