Title,Seasons,Cancelled,Genre,Country,Type,Premiere Year,Finale Year
Social Distance,1,1,TV Comedy,United States,TV Show,2020,2020
Grand Army,1,1,TV Dramas,United States,TV Show,2020,2020
The Queen's Gambit,1,1,TV Dramas,United States,TV Show,2020,2020
Dash & Lily,1,1,TV Dramas,NA,TV Show,2020,2020
Kings of Jo'Burg,2,0,Crime TV,South Africa,TV Show,2020,2023
Tiny Pretty Things,1,1,TV Dramas,United States,TV Show,2020,2020
Fate: The Winx Saga,2,0,TV Dramas,"Italy, United Kingdom",TV Show,2021,2022
Firefly Lane,2,0,TV Dramas,United States,TV Show,2021,2023
Behind Her Eyes,1,1,Thriller,United Kingdom,TV Show,2021,2021
The One,1,1,TV Action,United Kingdom,TV Show,2021,2021
The Irregulars,1,1,TV Dramas,United Kingdom,TV Show,2021,2021
Jupiter's Legacy,1,1,TV Dramas,United States,TV Show,2021,2021
Halston,1,1,TV Dramas,United States,TV Show,2021,2021
Jiva!,1,1,TV Dramas,NA,TV Show,2021,2021
Sex/Life,2,0,TV Dramas,United States,TV Show,2021,2023
Hit & Run,1,1,TV Action,"Israel, United States, United States",TV Show,2021,2021
Brand New Cherry Flavor,1,1,Thriller,United States,TV Show,2021,2021
Clickbait,1,1,Thriller,NA,TV Show,2021,2021
King of Boys: The Return of the King,1,1,Crime TV,Nigeria,TV Show,2021,2021
Midnight Mass,1,1,Horror,NA,TV Show,2021,2021
Maid,1,1,TV Comedy,NA,TV Show,2021,2021
Colin in Black & White,1,1,Docuseries,NA,TV Show,2021,2021
Cowboy Bebop,1,1,TV Action,NA,TV Show,2021,2021
True Story,1,1,TV Dramas,NA,TV Show,2021,2021
Stay Close,1,1,Thriller,NA,TV Show,2021,2021
Archive 81,1,1,Thriller,NA,TV Show,2022,2022
In From the Cold,1,1,TV Dramas,NA,TV Show,2022,2022
Inventing Anna,1,1,Thriller,NA,TV Show,2022,2022
Pieces of Her,1,1,TV Dramas,NA,TV Show,2022,2022
Anatomy of a Scandal,1,1,Thriller,NA,TV Show,2022,2022
Blood Sisters,1,1,TV Dramas,NA,TV Show,2022,2022
Savage Beauty,1,1,TV Action,NA,TV Show,2022,2022
First Kill,1,1,TV Action,"United Kingdom, Canada, United States, United Kingdom","TV Show, Movie",2022,2022
Resident Evil,1,1,TV Dramas,NA,TV Show,2022,2022
Country Queen,1,1,TV Dramas,NA,TV Show,2022,2022
Keep Breathing,1,1,TV Dramas,NA,TV Show,2022,2022
Justice Served,1,1,Thriller,NA,TV Show,2022,2022
Echoes,1,1,TV Dramas,NA,TV Show,2022,2022
Lost Ollie,1,1,TV Dramas,NA,TV Show,2022,2022
Partner Track,1,1,Thriller,NA,TV Show,2022,2022
Devil in Ohio,1,1,TV Action,NA,TV Show,2022,2022
The Imperfects,1,1,Crime TV,NA,TV Show,2022,2022
Dahmer Ã¢ÂÂ Monster: The Jeffrey Dahmer Story,1,1,TV Dramas,NA,TV Show,2022,2022
The Midnight Club,1,1,TV Dramas,NA,TV Show,2022,2022
From Scratch,1,1,TV Dramas,NA,TV Show,2022,2022
Guillermo del Toro's Cabinet of Curiosities,1,0,Horror,NA,TV Show,2022,2022
The Bastard Son & The Devil Himself,1,1,TV Dramas,NA,TV Show,2022,2022
The Witcher: Blood Origin,1,1,TV Dramas,NA,TV Show,2022,2022
Treason,1,1,TV Dramas,NA,TV Show,2022,2022
Kaleidoscope,1,1,Thrillers,United Kingdom,"TV Show, Movie",2023,2023
Lockwood & Co.,1,1,Thriller,NA,TV Show,2023,2023
Transatlantic,1,1,TV Dramas,NA,TV Show,2023,2023
Florida Man,1,1,Crime TV,NA,TV Show,2023,2023
Obsession,1,1,Thriller,NA,TV Show,2023,2023
Queen Charlotte: A Bridgerton Story,1,1,TV Dramas,NA,TV Show,2023,2023
Painkiller,1,1,Crime TV,NA,TV Show,2023,2023
Who Is Erin Carter?,1,1,TV Action,NA,TV Show,2023,2023
Unbreakable Kimmy Schmidt,4,0,TV Comedy,United States,TV Show,2015,2020
Grace and Frankie,7,0,TV Comedy,United States,TV Show,2015,2022
Wet Hot American Summer: First Day of Camp,1,1,TV Comedy,NA,TV Show,2015,2015
Master of None,3,0,TV Comedy,United States,TV Show,2015,2021
